Plot,Genotype,Repetition
1,PI594301,3
2,LD-07-3395bf,23
3,SA1730464,18
4,PI154189,14
5,PI594451,2
6,PI154189,14
7,LD-07-3395bf,23
8,PI594301,3
9,PI84987,5
10,SA1730464,18
11,PI561389B,10
12,PI594451,2
13,PI6548362,8
14,SA1730464,18
15,PI605765B,11
16,PI507480,1
17,PI603426 G,4
18,PI507480,1
19,PI378684A,13
20,PI154189,14
21,LG15-1913-86,22
22,PI506942,16
23,CR164386,21
24,PI437505,15
25,HM17-12161,19
26,PI84631,6
27,PI603426G,4
28,PI561389B,10
29,PI437505,15
30,PI84631,6
31,E19517GT,24
32,PI567408,17
33,SA1811280,25
34,PI506942,16
35,PI567780B,12
36,PI378684A,13
37,CR16-0042,20
38,PI506942,16
39,HM17-12161,19
40,PI407708A,7
41,PI605765B,11
42,PI84631,6
43,LG15-1913-86,22
44,PI84987,5
45,PI594301,3
46,SA1811280,25
47,LG15-1913-86,22
48,PI605765B,11
49,PI437505,15
50,PI507480,1
51,PI84987,5
52,CR164386,21
53,PI6548362,8
54,PI567408,17
55,PI567408,17
56,CR164386,21
57,PI594451,2
58,PI39528B,9
59,HM17-12161,19
60,CR16-0042,20
61,PI39528B,9
62,E19517GT,24
63,PI561389B,10
64,PI567780B,12
65,PI407708A,7
66,PI39528B,9
67,PI567780B,12
68,PI603426G,4
69,PI378684A,13
70,PI407708A,7
71,CR16-0042,20
72,SA1811280,25
73,E19517GT,24
74,LD-07-3395bf,23
75,PI6548362,8
