id_sample,plot,sample_name,repetition,genotype,experiment,season,treatment_1,measurment,sampling_identifier
1_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,1,A,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
1_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,1,B,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
1_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,1,C,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
1_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,1,D,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
2_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,2,A,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
2_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,2,B,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
2_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,2,C,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
2_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,2,D,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
3_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,3,A,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
3_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,3,B,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
3_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,3,C,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
3_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,3,D,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
4_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,4,A,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
4_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,4,B,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
4_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,4,C,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
4_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,4,D,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
5_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,5,A,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
5_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,5,B,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
5_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,5,C,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
5_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,5,D,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
6_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,6,A,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
6_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,6,B,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
6_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,6,C,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
6_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,6,D,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
7_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,7,A,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
7_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,7,B,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
7_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,7,C,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
7_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,7,D,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
8_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,8,A,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
8_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,8,B,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
8_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,8,C,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
8_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,8,D,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
9_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,9,A,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
9_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,9,B,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
9_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,9,C,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
9_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,9,D,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
10_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,10,A,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
10_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,10,B,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
10_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,10,C,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
10_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,10,D,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
11_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,11,A,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
11_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,11,B,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
11_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,11,C,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
11_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,11,D,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
12_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,12,A,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
12_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,12,B,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
12_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,12,C,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
12_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,12,D,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
13_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,13,A,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
13_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,13,B,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
13_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,13,C,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
13_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,13,D,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
14_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,14,A,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
14_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,14,B,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
14_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,14,C,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
14_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,14,D,18,SA1730464,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
15_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,15,A,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
15_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,15,B,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
15_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,15,C,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
15_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,15,D,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
